,orig_index,tweet,tweet_text,clean_tweet
439,656,RT @AlisonObrPhD: For all those who love 90s hits. New songs for hand washing! #coronavirus https://t.co/Y639bcPymf,For all those who love 90s hits. New songs for hand washing! #coronavirus ,For all those who love 90 hit New song for hand wash coronavirus
440,1079,"RT @tdsb: For families wanting to learn more about the new Coronavirus, Toronto Public Health has provided a letter for the TDSB community…","For families wanting to learn more about the new Coronavirus, Toronto Public Health has provided a letter for the TDSB community",For family want to learn more about the new Coronavirus Toronto Public Health have provide letter for the TDSB community
442,1205,"RT @9NewsAUS: Four Australians are now being tested for the deadly coronavirus, as the death toll from the outbreak in China reaches 25. @N…","Four Australians are now being tested for the deadly coronavirus, as the death toll from the outbreak in China reaches 25. @N",Four Australians be now be test for the deadly coronavirus a the death toll from the outbreak in China reach 25
443,65,"RT @DHSCgovuk: Four further patients in England have tested positive for #coronavirus, bringing the total number of cases in the UK to eigh…","Four further patients in England have tested positive for #coronavirus, bringing the total number of cases in the UK to eigh",Four far patient in England have test positive for coronavirus bring the total number of case in the UK to eigh
444,1196,"RT @CTVNews: France confirms 3 cases of coronavirus from China, 1st in Europe https://t.co/QDkFG6XxWz https://t.co/MijS5AVdRw","France confirms 3 cases of coronavirus from China, 1st in Europe  ",France confirms case of coronavirus from China 1st in Europe
445,735,"RT @PeninsulaQatar: France has 285 confirmed cases of coronavirus, the head of the public health service, Jerome Salomon, said on Wednesday…","France has 285 confirmed cases of coronavirus, the head of the public health service, Jerome Salomon, said on Wednesday",France have 285 confirm case of coronavirus the head of the public health service Jerome Salomon say on Wednesday
446,937,"From cancelled tech conferences to increased disinfecting of transit, coronavirus is impacting daily life in Waterloo Region: https://t.co/E6qzA1D9fg","From cancelled tech conferences to increased disinfecting of transit, coronavirus is impacting daily life in Waterloo Region",From cancel tech conference to increase disinfect of transit coronavirus be impact daily life in Waterloo Region
449,948,"RT @CBCKatie: From the White House: “Out of an abundance of caution from the Coronavirus outbreak, the President has decided to cancel his…","From the White House: “Out of an abundance of caution from the Coronavirus outbreak, the President has decided to cancel his",From the White House Out of an abundance of caution from the Coronavirus outbreak the President have decide to cancel his
450,1184,"RT @cnni: From the first reported case in December, in Hubei province, the Wuhan coronavirus has spread to almost all of China's administra…","From the first reported case in December, in Hubei province, the Wuhan coronavirus has spread to almost all of China's administra",From the first report case in December in Hubei province the Wuhan coronavirus have spread to almost all of China is administra
452,880,RT @LenzSowavy: Funniest shit about the coronavirus epidemic is people stocking up on hand sanitizer and not actual soap to wash their hands,Funniest shit about the coronavirus epidemic is people stocking up on hand sanitizer and not actual soap to wash their hands,Funniest shit about the coronavirus epidemic be people stock up on hand sanitizer and not actual soap to wash their hand
453,1098,"RT @ChuckWendig: Funny thing is, if we said there was a vaccine for the Wuhan coronavirus right now, we’d all run out and get it — but way…","Funny thing is, if we said there was a vaccine for the Wuhan coronavirus right now, we’d all run out and get it — but way",Funny thing be if we say there be vaccine for the Wuhan coronavirus right now we all run out and get it but way
454,172,RT @StuartLWallace: G-20 leaders are realizing the coronavirus isn’t just a short-term threat to global growth – it’s exposing the vulnerab…,G-20 leaders are realizing the coronavirus isn’t just a short-term threat to global growth – it’s exposing the vulnerab,G20 leader be realize the coronavirus isn just shortterm threat to global growth it expose the vulnerab
457,608,"RT @Inevitable_ET: Gates Foundation to help with coronavirus testing in Seattle
https://t.co/KUMgIulVD3

Still don’t know of a single perso…","Gates Foundation to help with coronavirus testing in Seattle


Still don’t know of a single perso",Gates Foundation to help with coronavirus test in Seattle Still don know of single perso
460,1232,RT @natnewswatch: Global Affairs warns against all travel to coronavirus-affected region in China | CBC News https://t.co/IwOFUqBR9t,Global Affairs warns against all travel to coronavirus-affected region in China | CBC News ,Global Affairs warns against all travel to coronavirusaffected region in China CBC News
462,323,RT @bpolitics: Global stocks plunged to 4-month lows as anxiety over the spread of the coronavirus deepened https://t.co/puPNJnjLWD,Global stocks plunged to 4-month lows as anxiety over the spread of the coronavirus deepened ,Global stock plunge to 4month low a anxiety over the spread of the coronavirus deepen
463,692,"Going to where the cool kids are: The @WHO launched a new TikTOK account to educate teens about the #coronavirus
 https://t.co/F0MvN5luvx","Going to where the cool kids are: The @WHO launched a new TikTOK account to educate teens about the #coronavirus
 ",Going to where the cool kid be The WHO launch new TikTOK account to educate teen about the coronavirus
465,203,Goldman says market underestimating coronavirus: 'Correction is looking much more probable' @CNBC  #investing #coronavavirus  https://t.co/UBy5PCJEBm,Goldman says market underestimating coronavirus: 'Correction is looking much more probable' @CNBC  #investing #coronavavirus  ,Goldman say market underestimate coronavirus be look much more probable CNBC invest coronavavirus
469,354,RT @josh_greenberg: Good piece published in @IRPP by @CommStudies_CU PhD student @ScottSDMitchell on combatting #coronavirus #COVIDー19 misi…,Good piece published in @IRPP by @CommStudies_CU PhD student @ScottSDMitchell on combatting #coronavirus #COVIDー19 misi,Good piece publish in IRPP by CommStudiesCU PhD student ScottSDMitchell on combat coronavirus COVIDー19 misi
471,678,RT @pash22: Great answer by @LFC coach #JurgenKlopp on #coronavirus ! Well done for not mincing your words! https://t.co/Ol7VHZoLyH,Great answer by @LFC coach #JurgenKlopp on #coronavirus ! Well done for not mincing your words! ,Great answer by LFC coach JurgenKlopp on coronavirus Well do for not mince your word
480,887,RT @technology_2021: Hashtag Trending – Coronavirus update; Robot lawyer to the rescue; Twitter bans discriminatory remarks https://t.co/q3…,Hashtag Trending – Coronavirus update; Robot lawyer to the rescue; Twitter bans discriminatory remarks ,Hashtag Trending Coronavirus update Robot lawyer to the rescue Twitter ban discriminatory remark
481,54,"RT @MacDeptMed: Have questions about the novel #coronavirus (2019-nCoV)? Dr. Nishma Singhal, associate professor in the Divisions of Infect…","Have questions about the novel #coronavirus (2019-nCoV)? Dr. Nishma Singhal, associate professor in the Divisions of Infect",Have question about the novel coronavirus 2019nCoV Nishma Singhal associate professor in the Divisions of Infect
482,235,"RT @katierogers: ""He's got a certain talent for this,"" Trump says of Pence, who was just named to lead the government's coronavirus approac…","""He's got a certain talent for this,"" Trump says of Pence, who was just named to lead the government's coronavirus approac",He is get certain talent for this Trump say of Pence who be just name to lead the government is coronavirus approac
484,1151,Health Alliance heightens ‘first line of defence’ in response to coronavirus | #Chatham This Week #ckont https://t.co/A4Ejwi8K8G https://t.co/DnWkkGjCBa,Health Alliance heightens ‘first line of defence’ in response to coronavirus | #Chatham This Week #ckont  ,Health Alliance heightens first line of defence in response to coronavirus Chatham This Week ckont
485,757,RT @JaroGiesbrecht: Health Minister @PattyHajdu says the cabinet committee set up to manage the #CoronaVirus outbreak in Canada will help t…,Health Minister @PattyHajdu says the cabinet committee set up to manage the #CoronaVirus outbreak in Canada will help t,Health Minister PattyHajdu say the cabinet committee set up to manage the CoronaVirus outbreak in Canada will help
488,822,RT @WSJ: Heard on the Street: Much of China is idle due to the coronavirus epidemic. That means many of the ingredients in your medicine ca…,Heard on the Street: Much of China is idle due to the coronavirus epidemic. That means many of the ingredients in your medicine ca,Heard on the Street Much of China be idle due to the coronavirus epidemic That mean many of the ingredient in your medicine ca
490,411,RT @ONThealth: Help prevent the spread of germs and protect yourself from #coronavirus or other viruses by practicing proper cough and snee…,Help prevent the spread of germs and protect yourself from #coronavirus or other viruses by practicing proper cough and snee,Help prevent the spread of germ and protect yourself from coronavirus or other virus by practice proper cough and snee
491,537,"RT @bradentonherald: Her elderly parents are stuck on a coronavirus-infected cruise ship, so she’s suing https://t.co/V5RKoE6fog","Her elderly parents are stuck on a coronavirus-infected cruise ship, so she’s suing ",Her elderly parent be stuck on coronavirusinfected cruise ship so she sue
494,171,RT @mathewi: Here's my latest newsletter featuring “How the Coronavirus Revealed Authoritarianism's Fatal Flaw” https://t.co/TOhzDI64JJ,Here's my latest newsletter featuring “How the Coronavirus Revealed Authoritarianism's Fatal Flaw” ,Here is my late newsletter feature How the Coronavirus Revealed Authoritarianism is Fatal Flaw
495,965,RT @gqinsk: Here's the full statement from the health ministry. #sask #saskatchewan #skpoli #Covid_19 #coronavirus https://t.co/ybsPHoppTs,Here's the full statement from the health ministry. #sask #saskatchewan #skpoli #Covid_19 #coronavirus ,Here is the full statement from the health ministry sask saskatchewan skpoli Covid19 coronavirus
500,683,"RT @YahooFinance: Highlight: Harvard professor @billhanage on coronavirus: ""Our goal is really to be figuring out, first of all, how to del…","Highlight: Harvard professor @billhanage on coronavirus: ""Our goal is really to be figuring out, first of all, how to del",Highlight Harvard professor billhanage on coronavirus Our goal be really to be figure out first of all how to del
503,402,RT @Revkin: How US health care costs relate to risk of #coronavirus spread &gt; @NickKristof https://t.co/iHUfb8GrzS,How US health care costs relate to risk of #coronavirus spread &gt; @NickKristof ,How US health care cost relate to risk of coronavirus spread gt NickKristof
504,437,"RT @NYTScience: How bad will coronavirus get? Here are the 6 key factors, based on the latest information https://t.co/PCsaN7N1EN","How bad will coronavirus get? Here are the 6 key factors, based on the latest information ",How bad will coronavirus get Here be the key factor base on the late information
506,1107,"RT @NPRGoatsandSoda: How does Wuhan coronavirus compare to MERS, SARS and the common cold? 

Here is a look at the most well-known coronavi…","How does Wuhan coronavirus compare to MERS, SARS and the common cold? 

Here is a look at the most well-known coronavi",How do Wuhan coronavirus compare to MERS SARS and the common cold Here be look at the most wellknown coronavi
507,74,"RT @MRC_Outbreak: How does infectious disease modelling inform #CoronaVirus #2019nCoV outbreak response? 

Your questions answered by prof…","How does infectious disease modelling inform #CoronaVirus #2019nCoV outbreak response? 

Your questions answered by prof",How do infectious disease model inform CoronaVirus 2019nCoV outbreak response Your question answer by prof
508,700,RT @NYTNational: How does the new coronavirus compare to the flu? We lay out the similarities and differences.  https://t.co/pLjh5DJfBL,How does the new coronavirus compare to the flu? We lay out the similarities and differences.  ,How do the new coronavirus compare to the flu We lay out the similarity and difference
509,443,RT @NYTScience: How does the new coronavirus compare to the flu? We lay out the similarities and differences.  https://t.co/oPqkgR0QIY,How does the new coronavirus compare to the flu? We lay out the similarities and differences.  ,How do the new coronavirus compare to the flu We lay out the similarity and difference
510,916,RT @globeandmail: How hospitals can increase capacity to cope with coronavirus https://t.co/MWdCl631Sz @GlobeDebate https://t.co/DsRS2lYaXY,How hospitals can increase capacity to cope with coronavirus  @GlobeDebate ,How hospital can increase capacity to cope with coronavirus GlobeDebate
511,546,"How to reduce the spread of coronavirus
Much of it follows traditional cold-season admonitions, but some is more specific https://t.co/HrJIQVLRAV","How to reduce the spread of coronavirus
Much of it follows traditional cold-season admonitions, but some is more specific ",How to reduce the spread of coronavirus Much of it follow traditional coldseason admonition but some be more specific
513,1207,"RT @jjkmaryy: How to wear mask , pls share this so that many people can learn the correct way 
#coronavirus #CoronaOutbreak #CoronavirusOut…","How to wear mask , pls share this so that many people can learn the correct way 
#coronavirus #CoronaOutbreak #CoronavirusOut",How to wear mask pls share this so that many people can learn the correct way coronavirus CoronaOutbreak CoronavirusOut
516,467,"RT @CohenProf: Human Rights and Coronavirus: What’s at Stake for Truth, Trust, and Democracy? Terrific piece by @AE_Yamin &amp; @roojinh https:…","Human Rights and Coronavirus: What’s at Stake for Truth, Trust, and Democracy? Terrific piece by @AE_Yamin &amp; @roojinh https",Human Rights and Coronavirus What at Stake for Truth Trust and Democracy Terrific piece by AEYamin amp roojinh http
522,909,"RT @Miexriir: If the olympics are cancelled due to coronavirus, Mario &amp; Sonic at the Olympic Games Tokyo 2020 (Nintendo Switch) will become…","If the olympics are cancelled due to coronavirus, Mario &amp; Sonic at the Olympic Games Tokyo 2020 (Nintendo Switch) will become",If the olympics be cancel due to coronavirus Mario amp Sonic at the Olympic Games Tokyo 2020 Nintendo Switch will become
524,242,"RT @DrDenaGrayson: If you are wondering how to prepare and protect yourself from the new #coronavirus, please wash your hands frequently an…","If you are wondering how to prepare and protect yourself from the new #coronavirus, please wash your hands frequently an",If you be wonder how to prepare and protect yourself from the new coronavirus please wash your hand frequently an
525,416,"RT @Sphiamia: Imagine if the media reported on the climate crisis like it does on the coronavirus. Headline news every day, constantly rele…","Imagine if the media reported on the climate crisis like it does on the coronavirus. Headline news every day, constantly rele",Imagine if the medium report on the climate crisis like it do on the coronavirus Headline news every day constantly rele
526,408,RT @Alyssa_Milano: Important information we need to get out on the coronavirus. Please watch. Please share. https://t.co/NuEjBMeyGK,Important information we need to get out on the coronavirus. Please watch. Please share. ,Important information we need to get out on the coronavirus Please watch Please share
527,1033,"RT @scottsantens: In Australia, 6 million Australians will get an immediate $750 in #coronavirus stimulus checks. Nation after nation is do…","In Australia, 6 million Australians will get an immediate $750 in #coronavirus stimulus checks. Nation after nation is do",In Australia million Australians will get an immediate 750 in coronavirus stimulus check Nation after nation be do
533,1007,"In our @CBCSaskatoon newsroom and this place is buzzing. 

News changing by the second because of coronavirus. Just in — no spring election in Saskatchewan. 

More to come.","In our @CBCSaskatoon newsroom and this place is buzzing. 

News changing by the second because of coronavirus. Just in — no spring election in Saskatchewan. 

More to come",In our CBCSaskatoon newsroom and this place be buzzing News change by the second because of coronavirus Just in no spring election in Saskatchewan More to come
534,108,"RT @WHO: In outbreaks of other #coronaviruses (MERS &amp; SARS), person-to-person transmission occurred through droplets, contact and fomites,…","In outbreaks of other #coronaviruses (MERS &amp; SARS), person-to-person transmission occurred through droplets, contact and fomites",In outbreak of other coronaviruses MERS amp SARS persontoperson transmission occur through droplet contact and fomite
535,914,"RT @barstoolsports: In the last 6 hours the coronavirus took the NCAA tournament, Europe, Tom Hanks, and the NBA. What a resume. @FeitsBars…","In the last 6 hours the coronavirus took the NCAA tournament, Europe, Tom Hanks, and the NBA. What a resume. @FeitsBars",In the last hour the coronavirus take the NCAA tournament Europe Tom Hanks and the NBA What resume FeitsBars
536,326,"RT @nytimes: In the spread of yet another coronavirus, conservationists see a public health lesson: If you want to prevent epidemics that b…","In the spread of yet another coronavirus, conservationists see a public health lesson: If you want to prevent epidemics that b",In the spread of yet another coronavirus conservationist see public health lesson If you want to prevent epidemic that
538,884,RT @morninggloria: In a time of Coronavirus I can see in hindsight how putting touchscreens everywhere in airports was perhaps not very wel…,In a time of Coronavirus I can see in hindsight how putting touchscreens everywhere in airports was perhaps not very wel,In time of Coronavirus can see in hindsight how put touchscreen everywhere in airport be perhaps not very wel
541,256,RT @CBCMorningLive: Infection control physician Dr. Michael Gardam is back answering your questions about the coronavirus. And a lot of peo…,Infection control physician Dr. Michael Gardam is back answering your questions about the coronavirus. And a lot of peo,Infection control physician Michael Gardam be back answer your question about the coronavirus And lot of peo
542,271,"RT @business: Inovio, one of a handful of companies racing to develop a coronavirus vaccine, is talking with larger drugmakers so it can de…","Inovio, one of a handful of companies racing to develop a coronavirus vaccine, is talking with larger drugmakers so it can de",Inovio one of handful of company race to develop coronavirus vaccine be talk with large drugmakers so it can de
545,650,"RT @abctweet100: Instead of heeding health officials' advise to self-quarantine, the father of a girl with #coronavirus took his other daug…","Instead of heeding health officials' advise to self-quarantine, the father of a girl with #coronavirus took his other daug",Instead of heed health official advise to selfquarantine the father of girl with coronavirus take his other daug
550,333,"
 Iran's deputy health minister tests positive for coronavirus a day after playing down outbreak fears  https://t.co/hHtsYgqfON","
 Iran's deputy health minister tests positive for coronavirus a day after playing down outbreak fears  ",Iran is deputy health minister test positive for coronavirus day after play down outbreak fear
551,181,RT @Telegraph: Iran's health minister appeared at a press conference profusely sweating but insisting Iran had coronavirus under control.…,Iran's health minister appeared at a press conference profusely sweating but insisting Iran had coronavirus under control,Iran is health minister appear at press conference profusely sweat but insist Iran have coronavirus under control
552,403,RT @globeandmail: Iran raises death toll to 54 from new coronavirus https://t.co/4OzQg7QqZM https://t.co/3EgjvrAK9X,Iran raises death toll to 54 from new coronavirus  ,Iran raise death toll to 54 from new coronavirus
553,168,"RT @Reuters: Iran says 43 infected with coronavirus, eight dead: official https://t.co/brTht6gdlQ https://t.co/zNYx4AsjYo","Iran says 43 infected with coronavirus, eight dead: official  ",Iran say 43 infect with coronavirus eight dead official
558,557,"RT @nytimes: Ireland has canceled the St. Patrick’s parade in Dublin in response to the coronavirus, the public broadcaster RTE reported, t…","Ireland has canceled the St. Patrick’s parade in Dublin in response to the coronavirus, the public broadcaster RTE reported, t",Ireland have cancel the Patrick parade in Dublin in response to the coronavirus the public broadcaster RTE report
560,720,Is your goatee CDC-approved? 2017 facial-hair guidelines get attention amid coronavirus fears https://t.co/vY6aNYrV0q,Is your goatee CDC-approved? 2017 facial-hair guidelines get attention amid coronavirus fears ,Is your goatee CDCapproved 2017 facialhair guideline get attention amid coronavirus fear
561,657,Israeli Scientists To Test Adapted New Avian Virus Vaccine Against Human Coronavirus | Health News https://t.co/GDzG4Z6Cdh,Israeli Scientists To Test Adapted New Avian Virus Vaccine Against Human Coronavirus | Health News ,Israeli Scientists To Test Adapted New Avian Virus Vaccine Against Human Coronavirus Health News
562,277,RT @PeteButtigieg: Issues like Coronavirus are different from traditional national security threats. The virus doesn't care what country it…,Issues like Coronavirus are different from traditional national security threats. The virus doesn't care what country it,Issues like Coronavirus be different from traditional national security threat The virus do not care what country it
567,621,Italian Prime Minister Giuseppe Conte expanded emergency anti-coronavirus restrictions to the entire country Monday. https://t.co/6fpphnmgQ3,Italian Prime Minister Giuseppe Conte expanded emergency anti-coronavirus restrictions to the entire country Monday. ,Italian Prime Minister Giuseppe Conte expand emergency anticoronavirus restriction to the entire country Monday
568,673,"RT @Reuters: Italian coronavirus deaths jump to 148, cases climb to 3,858 https://t.co/NIh6GSPI0L https://t.co/MdAPfGB9m5","Italian coronavirus deaths jump to 148, cases climb to 3,858  ",Italian coronavirus death jump to 148 case climb to
571,215,RT @Reuters: Italy battles 'explosion' of coronavirus cases as third patient dies https://t.co/d2lzSqc3mw https://t.co/bxXiZHVbuq,Italy battles 'explosion' of coronavirus cases as third patient dies  ,Italy battle of coronavirus case a third patient dy
573,989,"RT @YourAnonCentral: Italy medical chief,  Roberto Stella, has died from coronavirus (#CODVID19), he was the President of the Medical Guild…","Italy medical chief,  Roberto Stella, has died from coronavirus (#CODVID19), he was the President of the Medical Guild",Italy medical chief Roberto Stella have die from coronavirus CODVID19 he be the President of the Medical Guild
575,463,"RT @BBCBreaking: Italy to close all schools and universities across the country for two weeks to control coronavirus outbreak, Italian news…","Italy to close all schools and universities across the country for two weeks to control coronavirus outbreak, Italian news",Italy to close all school and university across the country for two week to control coronavirus outbreak Italian news
576,763,"RT @TwitterMoments: Italy, which has been hit the hardest by the spread of #Coronavirus in Europe, will keep schools closed for two weeks a…","Italy, which has been hit the hardest by the spread of #Coronavirus in Europe, will keep schools closed for two weeks a",Italy which have be hit the hardest by the spread of Coronavirus in Europe will keep school close for two week
578,1003,RT @brooksbarnesNYT: JUST IN: Disneyland in CA closing as of Friday because of coronavirus. Only 4th time in history that operations have b…,JUST IN: Disneyland in CA closing as of Friday because of coronavirus. Only 4th time in history that operations have b,JUST IN Disneyland in CA closing a of Friday because of coronavirus Only 4th time in history that operation have
579,340,"RT @thehill: JUST IN: Schumer rips Mulvaney over ""Orwellian"" coronavirus remarks https://t.co/htyjbFctCE https://t.co/mriu6zruaj","JUST IN: Schumer rips Mulvaney over ""Orwellian"" coronavirus remarks  ",JUST IN Schumer rip Mulvaney over Orwellian coronavirus remark
580,677,"RT @cliffordlevy: JUST IN: 2,733 people are under coronavirus quarantines in New York City, officials say
https://t.co/MRuqOppAOj","JUST IN: 2,733 people are under coronavirus quarantines in New York City, officials say
",JUST IN people be under coronavirus quarantine in New York City official say
582,1287,RT @CBCOlympics: Japan has no reported fatalities from coronavirus outbreak; IOC has no plans to cancel event https://t.co/Xp7Ry09xKe,Japan has no reported fatalities from coronavirus outbreak; IOC has no plans to cancel event ,Japan have no report fatality from coronavirus outbreak IOC have no plan to cancel event
584,980,"RT @piersmorgan: Jeez... these coronavirus numbers out of Italy are rising scarily fast.  
For context, SARS infected 8,098 people globally…","Jeez... these coronavirus numbers out of Italy are rising scarily fast.  
For context, SARS infected 8,098 people globally",Jeez these coronavirus number out of Italy be rise scarily fast For context SARS infect people globally
589,1188,"RT @joe_cressy: Joining our Medical Officer of Health Dr. Eileen de Villa to provide an update on Toronto’s coronavirus preparedness, along…","Joining our Medical Officer of Health Dr. Eileen de Villa to provide an update on Toronto’s coronavirus preparedness, along",Joining our Medical Officer of Health Eileen de Villa to provide an update on Toronto coronavirus preparedness along
590,175,RT @Fxhedgers: Judge blocks transfer of Bay Area coronavirus patients to Orange County quarantine site https://t.co/tVy9w9pmC1,Judge blocks transfer of Bay Area coronavirus patients to Orange County quarantine site ,Judge block transfer of Bay Area coronavirus patient to Orange County quarantine site
595,730,RT @BrettCMajor1: Justin Trudeau warns that Canada’s economy is taking a hit from spread of coronavirus | The Star https://t.co/gIdC7AmPXg,Justin Trudeau warns that Canada’s economy is taking a hit from spread of coronavirus | The Star ,Justin Trudeau warns that Canada economy be take hit from spread of coronavirus The Star
598,991,Kinross Gold shuts Toronto office after employee confirmed to have coronavirus $K.TO https://t.co/i5LKOmcP0Z via @YahooFinanceCA,Kinross Gold shuts Toronto office after employee confirmed to have coronavirus $K.TO  via @YahooFinanceCA,Kinross Gold shuts Toronto office after employee confirm to have coronavirus via YahooFinanceCA
599,851,"RT @NiallCMcGee: Kinross Gold spokesperson just confirmed to me that an employee tested positive for #coronavirus 
HQ was evacuated today i…","Kinross Gold spokesperson just confirmed to me that an employee tested positive for #coronavirus 
HQ was evacuated today i",Kinross Gold spokesperson just confirm to me that an employee test positive for coronavirus HQ be evacuate today
600,72,RT @CPHO_Canada: Knowledge of novel #coronavirus is evolving. #GoC is advising travellers from affected areas (#Hubei province &amp; mainland #…,Knowledge of novel #coronavirus is evolving. #GoC is advising travellers from affected areas (#Hubei province &amp; mainland,Knowledge of novel coronavirus be evolve GoC be advise traveller from affected area Hubei province amp mainland
602,676,RT @uOttawaMed: Dr. Kumanan Wilson @uOttawa @bruyerecare receives a $212K @CIHR_IRSC grant to track Canada's response to #coronavirus outbr…,Dr. Kumanan Wilson @uOttawa @bruyerecare receives a $212K @CIHR_IRSC grant to track Canada's response to #coronavirus outbr,Kumanan Wilson uOttawa bruyerecare receives 212K CIHRIRSC grant to track Canada is response to coronavirus outbr
603,1257,RT @Reuters: Kurdistan's Erbil airport denies entry to three Chinese over coronavirus https://t.co/1Na1HsQmWR https://t.co/k5uMbTSrFS,Kurdistan's Erbil airport denies entry to three Chinese over coronavirus  ,Kurdistan is Erbil airport denies entry to three Chinese over coronavirus
605,585,RT @joe_warmington: LEVY: Mayor quietly heads off to London amid coronavirus crisis | Toronto Sun https://t.co/qeP40SJwF7,LEVY: Mayor quietly heads off to London amid coronavirus crisis | Toronto Sun ,LEVY Mayor quietly head off to London amid coronavirus crisis Toronto Sun
606,1222,RT @CP24: LIVE @ 10:30: Federal officials speak about coronavirus outbreak https://t.co/QKJ3HdLjrM https://t.co/uy99DNPwra,LIVE @ 10:30: Federal officials speak about coronavirus outbreak  ,LIVE Federal official speak about coronavirus outbreak
607,671,RT @QuickTake: LIVE: Trump speaks after signing a $7.8 billion emergency bill for coronavirus spending https://t.co/Fjr7UZqqrD,LIVE: Trump speaks after signing a $7.8 billion emergency bill for coronavirus spending ,LIVE Trump speaks after signing billion emergency bill for coronavirus spending
609,213,"RT @SCMPNews: Laid low by coronavirus, Wuhan’s industrial heart is kept beating by its defence industries https://t.co/y9bIommaPG","Laid low by coronavirus, Wuhan’s industrial heart is kept beating by its defence industries ",Laid low by coronavirus Wuhan industrial heart be kept beating by it defence industry
610,454,RT @thomaskaine5: Las Vegas casinos brace for loss of Chinese tourism as coronavirus spreads https://t.co/r9uysSDjqc via @nbcnews,Las Vegas casinos brace for loss of Chinese tourism as coronavirus spreads  via @nbcnews,Las Vegas casino brace for loss of Chinese tourism a coronavirus spread via nbcnews
613,531,"RT @TSN_Sports: LeBron says he won't play if fans can't be in attendance due to the coronavirus.

(: @sportscenter) https://t.co/RKweegsm39","LeBron says he won't play if fans can't be in attendance due to the coronavirus.

(: @sportscenter) ",LeBron say he wo not play if fan ca not be in attendance due to the coronavirus sportscenter
615,617,RT @AnishNation: Learn about how the Ministry of Health is preparing for the 2019 novel #coronavirus in #Ontario. https://t.co/Za86mBU0Pp h…,Learn about how the Ministry of Health is preparing for the 2019 novel #coronavirus in #Ontario.  h,Learn about how the Ministry of Health be prepare for the 2019 novel coronavirus in Ontario
616,1088,RT @fordnation: Learn about how the Ministry of Health is preparing for the Wuhan novel coronavirus in Ontario. Find out how to protect you…,Learn about how the Ministry of Health is preparing for the Wuhan novel coronavirus in Ontario. Find out how to protect you,Learn about how the Ministry of Health be prepare for the Wuhan novel coronavirus in Ontario Find out how to protect you
617,1150,RT @LWaler: Learn about how the Ministry of Health is preparing for the Wuhan novel coronavirus in Ontario. Find out how to protect yoursel…,Learn about how the Ministry of Health is preparing for the Wuhan novel coronavirus in Ontario. Find out how to protect yoursel,Learn about how the Ministry of Health be prepare for the Wuhan novel coronavirus in Ontario Find out how to protect yoursel
619,384,RT @SalVulcano: Let's all agree the first child born via conception due to the Coronavirus lock down be named Quarantina.,Let's all agree the first child born via conception due to the Coronavirus lock down be named Quarantina,Let is all agree the first child born via conception due to the Coronavirus lock down be name Quarantina
620,305,Let’s quickly get the 4 wins needed before the season is called off due to coronavirus #LFC https://t.co/gPcSmvrLDf,Let’s quickly get the 4 wins needed before the season is called off due to coronavirus #LFC ,Let quickly get the win need before the season be call off due to coronavirus LFC
622,1315,"RT @NPR: Dr. Li Wenliang, an ophthalmologist working in Wuhan, tried to warn people about the coronavirus in late December. But he was sile…","Dr. Li Wenliang, an ophthalmologist working in Wuhan, tried to warn people about the coronavirus in late December. But he was sile",Li Wenliang an ophthalmologist work in Wuhan try to warn people about the coronavirus in late December But he be sile
623,78,"RT @caixin: Dr. Li Wenliang, a whistleblower who was punished for warning of China’s novel coronavirus outbreak, died Friday of the disease…","Dr. Li Wenliang, a whistleblower who was punished for warning of China’s novel coronavirus outbreak, died Friday of the disease",Li Wenliang whistleblower who be punish for warn of China novel coronavirus outbreak die Friday of the disease
627,578,RT @LatifRecord: Local workers worry about unpaid sick days as coronavirus reaches Waterloo Region https://t.co/DCXfChxLZw,Local workers worry about unpaid sick days as coronavirus reaches Waterloo Region ,Local worker worry about unpaid sick day a coronavirus reach Waterloo Region
628,260,"RT @RuralCdn: Long lines have formed at Costco in Sunnyvale, California as people stock up on supplies because of the #coronavirus. #COVID1…","Long lines have formed at Costco in Sunnyvale, California as people stock up on supplies because of the #coronavirus. #COVID1",Long line have form at Costco in Sunnyvale California a people stock up on supply because of the coronavirus COVID1
